1141,4230
1159,4019
1163,4325
1177,4131
1191,3935
1195,4086
1195,4232
1211,4194
1216,3892
1218,4037
1224,4313
1236,4145
1236,4277
1245,3661
1249,4397
1252,4091
1261,3611
1261,3775
1261,3928
1263,4217
1272,4343
1278,3730
1288,4163
1288,4302
1292,3848
1297,3546
1297,3994
1301,3375
1305,4262
1310,4412
1310,4108
1312,3647
1315,3501
1317,3793
1323,3929
1324,4217
1326,3177
1328,3606
1330,4462
1332,3449
1333,3291
1337,4039
1341,3737
1346,4318
1348,4160
1351,3113
1351,3553
1353,3400
1353,3848
1360,3687
1362,3974
1367,4266
1369,3197
1371,4097
1375,3505
1376,3069
1376,3796
1378,3634
1380,3343
1384,3462
1384,4216
1387,3922
1393,4048
1396,3746
1398,3136
1400,3588
1403,3274
1409,3865
1409,4009
1411,4158
1412,3706
1421,3539
1427,3962
1429,3372
1429,4115
1432,3211
1438,2916
1434,4095
1441,3791
1443,3037
1443,3483
1443,3922
1438,4081
1450,4055
1452,3161
1454,3609
1456,2652
1457,3298
1459,3750
1465,3877
1466,3431
1472,3562
1474,4007
1477,3253
1479,3113
1481,2817
1481,3390
1481,3696
1486,3823
1490,2940
1483,4637
1497,2772
1497,3199
1499,3062
1500,2893
1500,3649
1500,3944
1504,2610
1504,3343
1504,3773
1509,3170
1509,3476
1513,4631
1515,3604
1522,3897
1524,3296
1526,3726
1527,3003
1527,3118
1529,2835
1529,3417
1529,4590
1542,2515
1544,2796
1542,3850
1542,4430
1542,4552
1544,3251
1545,2664
1545,2947
1545,3544
1547,3382
1547,3674
1549,3078
1551,4682
1553,2359
1553,4394
1563,3627
1565,2623
1565,2751
1567,3197
1567,3490
1571,3330
1571,4349
1572,4631
1574,2891
1574,3760
1576,2314
1578,3017
1580,2423
1587,2697
1587,3159
1589,3435
1589,3577
1590,2571
1590,4579
1594,2272
1596,2974
1596,3267
1596,4449
1599,2837
1601,2384
1601,3113
1605,3699
1608,4264
1610,3386
1612,3228
1616,4662
1617,2929
1617,3073
1617,3507
1621,2780
1621,2503
1619,2186
1623,3656
1628,3188
1628,4494
1630,4212
1630,4619
1632,2605
1632,3336
1632,3582
1635,4343
1641,2278
1641,2875
1643,3030
1646,2171
1646,2718
1648,4757
1648,2443
1653,3292
1653,3429
1655,4568
1659,2978
1662,3116
1664,2242
1664,2821
1664,4703
1666,3557
1668,2393
1671,4388
1673,2661
1675,4117
1675,3240
1677,2504
1677,4241
1678,3373
1680,4523
1684,1955
1684,2083
1684,2925
1684,4651
1686,2351
1686,3508
1689,2461
1689,4777
1691,2758
1693,2607
1693,4073
1695,2184
1695,3035
1696,3327
1698,3184
1698,4203
1700,2047
1702,2306
1705,2870
1705,4318
1707,3458
1711,4030
1713,4156
1714,4592
1716,1862
1716,2139
1716,3140
1716,4723
1718,2990
1722,2400
1723,4426
1725,2254
1725,3262
1727,3983
1729,2672
1731,2823
1732,4106
1731,4255
1732,4680
1734,1819
1734,3397
1734,4804
1736,4543
1738,2362
1740,3086
1740,4379
1745,1955
1747,2488
1747,4066
1750,3199
1750,4754
1752,2204
1752,2765
1754,4201
1756,4496
1759,2056
1759,2308
1759,2893
1761,3328
1763,1776
1767,2445
1767,3026
1768,1900
1768,4324
1772,1741
1772,2574
1772,4016
1774,4707
1774,4856
1776,2708
1776,3138
1777,3861
1777,3926
1779,2848
1779,4572
1781,1610
1781,1993
1783,3269
1785,4826
1788,1849
1788,2538
1792,2251
1792,2981
1792,4268
1795,4117
1797,3816
1797,4655
1799,1695
1799,2096
1799,4163
1801,4394
1802,1558
1804,2655
1804,3217
1806,2492
1808,4514
1811,4899
1815,1801
1815,2062
1815,4208
1817,2927
1817,3041
1817,3771
1817,4070
1819,4606
1820,3913
1822,1518
1824,4730
1826,2747
1826,4343
1826,4836
1828,1898
1828,2159
1828,2449
1829,3165
1833,2296
1835,3728
1838,2996
1838,3859
1838,4565
1844,2204
1844,4298
1847,4007
1847,1592
1847,2564
1847,4426
1853,4795
1855,1473
1855,2825
1856,4244
1858,2240
1858,2666
1860,3102
1862,4925
1864,1964
1864,4102
1865,1551
1865,2940
1865,4383
1867,1675
1864,4966
1871,2081
1871,2348
1871,3947
1873,1806
1873,2508
1873,3768
1876,2774
1876,3636
1880,4059
1880,4746
1871,4975
1882,2898
1883,4613
1885,3046
1885,4334
1885,4511
1887,2188
1889,4466
1892,1383
1891,2312
1891,3901
1892,1905
1896,1765
1894,2026
1894,2441
1894,4570
1896,3584
1896,3723
1898,4171
1898,4700
1898,4833
1900,2848
1901,1621
1901,2567
1903,4007
1907,4280
1914,1462
1912,2393
1912,4122
1912,4955
1914,3841
1914,4412
1916,3535
1918,2688
1919,2242
1919,3667
1921,4246
1921,4658
1923,1707
1923,2958
1923,4782
1925,2515
1927,1574
1928,2081
1928,2798
1930,3787
1934,3924
1936,4361
1937,1417
1937,1664
1937,1819
1937,4745
1937,4896
1939,2920
1939,3487
1939,4073
1941,2339
1941,2637
1937,1928
1943,4194
1948,2756
1952,1279
1952,4989
1955,3732
1955,4444
1957,2031
1957,2164
1957,2880
1957,4028
1957,4581
1957,4849
1959,2582
1959,2296
1961,3568
1962,4315
1962,4698
1964,1759
1964,2708
1964,4145
1964,4955
1966,2418
1968,1372
1968,4784
1973,1236
1979,1475
1980,3687
1979,4532
1980,1855
1980,3390
1982,2830
1984,3820
1982,4095
1984,1714
1984,2531
1984,3516
1984,3965
1984,4253
1988,4917
1991,1320
1998,1200
1998,3784
2000,3339
2000,3633
2002,2778
2002,4342
2004,1801
2004,2695
2004,3469
2006,1534
2006,1669
2006,4606
2007,4745
2009,1932
2009,2056
2006,2197
2009,2485
2009,3908
2009,4048
2009,4989
2011,2326
2013,1268
2013,2610
2016,4180
2018,3726
2022,1389
2022,1759
2024,1885
2024,3287
2024,4302
2025,3431
2025,3579
2025,4005
2029,2436
2029,1227
2029,3859
2031,1482
2031,2146
2031,2279
2031,4554
2031,4826
2031,4943
2033,4430
2034,2558
2038,4129
2040,1354
2042,3379
2042,3676
2043,5052
2045,3958
2047,1709
2047,1849
2047,2395
2051,2092
2049,4779
2051,2670
2051,3525
2051,3800
2051,4647
2052,2236
2052,4244
2052,4381
2052,4899
2052,5011
2054,1964
2056,1430
2056,1572
2058,1185
2058,2503
2058,3208
2060,4502
2061,3336
2061,4075
2069,1306
2069,1794
2070,3463
2070,3910
2070,4201
2072,2341
2072,3751
2074,1655
2074,4331
2074,4601
2076,2180
2076,2468
2078,2047
2078,4849
2079,4030
2081,4160
2085,3570
2087,1615
2087,2587
2087,3152
2087,3861
2087,4446
2090,1878
2092,1749
2092,3283
2094,1484
2094,4682
2095,5070
2095,2132
2090,4997
2097,2006
2097,2423
2099,2281
2101,3109
2103,4277
2103,1218
2104,3987
2103,4118
2104,4791
2106,1351
2108,3229
2106,4921
2110,3807
2110,4396
2112,2531
2112,3517
2112,4514
2104,4989
2113,1704
2115,2238
2115,3368
2117,3651
2119,1954
2119,2375
2121,1306
2121,3929
2122,4876
2124,3193
2124,4205
2124,4358
2126,2080
2126,2486
2128,3046
2128,4745
2130,3476
2130,4057
2131,1191
2131,1666
2131,3759
2133,1396
2133,1779
2133,4462
2135,2200
2135,3323
2137,2333
2140,1901
2140,4982
2140,5112
2142,3595
2142,4583
2146,2035
2148,3427
2149,3875
2149,4700
2151,2427
2153,3710
2153,4424
2155,2287
2153,1272
2158,1358
2158,1732
2158,1858
2158,3267
2162,1468
2162,4851
2162,4262
2162,4939
2166,3096
2166,3827
2167,3965
2169,3375
2169,4647
2169,4782
2171,3534
2171,3665
2173,2936
2176,2110
2176,2233
2178,4379
2180,1203
2180,2306
2182,5025
2182,1689
2182,2384
2184,4223
2184,4736
2184,4889
2185,1570
